ts,open,high,low,close,volume
1782298800000,1663.68,1665.2,1655.76,1657.89,3735.6531
1782300600000,1657.9,1693.67,1657.9,1679.57,10844.2781
1782302400000,1679.57,1681.29,1675.76,1676.86,5325.606
1782304200000,1676.85,1678.3,1670.52,1671.53,2870.0888
1782306000000,1671.53,1672.17,1642.88,1652.15,13054.9598
1782307800000,1652.14,1664.16,1641.44,1645.43,14332.7949
1782309600000,1645.42,1650.83,1638.14,1649.18,14263.4082
1782311400000,1649.18,1657.4,1643.01,1647.26,9009.8816
1782313200000,1647.27,1651.24,1637.16,1644.68,9543.152
1782315000000,1644.68,1644.69,1616.8,1618.08,20000.8049
1782316800000,1618.08,1636.08,1616.23,1631.78,14690.379
1782318600000,1631.77,1632.32,1585.2,1589.87,33906.4091
1782320400000,1589.86,1597.83,1567.74,1576.67,22777.1488
1782322200000,1576.68,1579.01,1552.95,1560.66,21573.4344
1782324000000,1560.66,1585.11,1556.86,1578.4,19566.0142
1782325800000,1578.4,1580.31,1568.31,1572.26,8161.0073
1782327600000,1572.27,1577.0,1567.12,1576.04,6921.6241
1782329400000,1576.03,1585.39,1572.36,1584.58,7710.7261
1782331200000,1584.59,1617.22,1580.0,1613.22,15688.1172
1782333000000,1613.22,1622.12,1608.92,1613.63,8275.4699
1782334800000,1613.63,1615.11,1606.09,1611.77,5542.9368
1782336600000,1611.77,1621.81,1610.2,1621.37,4778.3389
1782338400000,1621.37,1629.82,1615.0,1615.68,7807.6886
1782340200000,1615.67,1618.0,1613.65,1615.46,3427.2301
1782342000000,1615.45,1622.28,1613.75,1619.56,3173.0196
1782343800000,1619.56,1623.46,1618.0,1622.17,2837.0419
1782345600000,1622.18,1626.51,1620.15,1620.54,3082.9185
1782347400000,1620.55,1622.87,1616.56,1619.12,6999.9092
1782349200000,1619.12,1622.07,1614.69,1618.99,2826.036
1782351000000,1618.98,1624.24,1618.31,1620.72,2233.7895
1782352800000,1620.73,1621.47,1615.04,1620.35,1035.7473
1782354600000,1620.34,1621.34,1615.32,1621.0,2567.9324
1782356400000,1621.01,1624.12,1616.23,1619.21,3276.0891
1782358200000,1619.21,1620.64,1616.5,1619.6,1914.6734
1782360000000,1619.61,1620.97,1617.36,1619.25,2110.3264
1782361800000,1619.25,1636.52,1617.12,1635.03,8505.7049
1782363600000,1635.04,1651.41,1633.58,1647.82,18510.7021
1782365400000,1647.82,1652.23,1644.1,1645.89,10864.0442
1782367200000,1645.89,1650.67,1644.15,1648.54,4891.1719
1782369000000,1648.53,1660.54,1647.45,1653.95,8198.6059
1782370800000,1653.95,1656.54,1651.22,1654.94,6203.8846
1782372600000,1654.93,1659.89,1654.63,1657.19,4304.3633
1782374400000,1657.2,1658.98,1651.03,1653.42,2475.4962
1782376200000,1653.42,1654.6,1651.51,1652.92,2662.2295
1782378000000,1652.93,1655.41,1647.43,1648.27,3089.8328
1782379800000,1648.28,1650.46,1646.62,1648.88,2202.0843
1782381600000,1648.89,1649.83,1642.88,1643.45,4842.131
1782383400000,1643.44,1644.19,1633.6,1636.58,7438.1464
1782385200000,1636.58,1639.17,1628.05,1630.89,14195.1659
1782387000000,1630.89,1635.22,1628.54,1633.27,7120.2141
1782388800000,1633.28,1634.72,1624.71,1627.11,3959.7195
1782390600000,1627.12,1650.38,1627.12,1635.81,10122.4216
1782392400000,1635.82,1640.98,1633.43,1634.5,4324.3988
1782394200000,1634.5,1637.55,1532.9,1538.15,65654.2622
1782396000000,1538.15,1575.57,1538.15,1563.85,45025.1623
1782397800000,1563.84,1593.07,1559.95,1568.37,29214.0962
1782399600000,1568.37,1568.77,1544.68,1561.77,24437.9938
1782401400000,1561.78,1573.55,1555.38,1570.01,15755.9751
1782403200000,1570.01,1587.7,1568.18,1576.52,18430.0586
1782405000000,1576.52,1576.52,1558.17,1562.04,9025.5471
1782406800000,1562.04,1575.43,1557.56,1570.29,8883.6375
1782408600000,1570.29,1574.97,1566.48,1574.92,7289.5698
1782410400000,1574.92,1577.49,1564.55,1573.52,8507.527
1782412200000,1573.52,1573.52,1560.0,1567.56,6573.628
1782414000000,1567.56,1567.83,1554.6,1559.97,6716.9489
1782415800000,1559.97,1562.75,1555.28,1559.42,4893.4995
1782417600000,1559.41,1570.74,1559.41,1567.53,4419.4995
1782419400000,1567.54,1568.5,1556.73,1560.33,4662.2279
1782421200000,1560.33,1568.72,1560.14,1568.19,4376.6706
1782423000000,1568.18,1583.09,1567.83,1580.77,6986.6882
1782424800000,1580.76,1583.65,1566.62,1568.82,6434.6263
1782426600000,1568.82,1573.77,1568.16,1570.3,4160.1823
1782428400000,1570.29,1579.08,1567.81,1577.51,4898.9189
1782430200000,1577.52,1579.82,1564.57,1567.84,4366.5465
1782432000000,1567.86,1571.78,1566.18,1569.0,2595.1074
1782433800000,1568.99,1571.29,1563.69,1564.72,2334.3561
1782435600000,1564.73,1568.65,1557.42,1557.77,3883.2117
1782437400000,1557.77,1562.64,1555.33,1560.13,3167.1574
1782439200000,1560.13,1560.94,1520.0,1537.76,24362.492
1782441000000,1537.75,1542.01,1522.51,1524.7,10817.8819
1782442800000,1524.7,1536.19,1512.0,1532.8,21051.8701
1782444600000,1532.81,1563.65,1529.21,1557.93,15353.9241
1782446400000,1557.93,1560.7,1550.26,1552.75,5930.0632
1782448200000,1552.75,1554.38,1547.41,1549.79,2991.6215
1782450000000,1549.8,1559.22,1548.4,1557.05,6892.9961
1782451800000,1557.05,1559.16,1552.18,1555.69,4506.7999
1782453600000,1555.68,1561.18,1543.43,1560.36,8321.3882
1782455400000,1560.36,1574.02,1557.86,1570.99,6756.06
1782457200000,1571.0,1582.0,1570.65,1578.67,8540.4019
1782459000000,1578.67,1586.5,1578.08,1581.12,24797.1555
1782460800000,1581.12,1582.43,1570.4,1572.9,18210.5753
1782462600000,1572.9,1573.39,1563.55,1566.43,9642.6804
1782464400000,1566.44,1567.05,1559.84,1562.68,6694.7496
1782466200000,1562.67,1567.28,1549.33,1552.99,10031.4342
1782468000000,1552.99,1556.15,1549.45,1553.22,4805.9841
1782469800000,1553.22,1554.99,1545.0,1548.37,5599.9873
1782471600000,1548.36,1555.2,1545.05,1546.37,9904.757
1782473400000,1546.37,1549.75,1541.01,1545.14,5948.5346
1782475200000,1545.15,1552.0,1542.83,1551.8,5211.1245
1782477000000,1551.79,1560.61,1527.81,1536.28,15405.4256
1782478800000,1536.29,1541.85,1521.54,1534.14,11841.4248
1782480600000,1534.15,1571.4,1529.09,1569.4,23591.7136
1782482400000,1569.4,1575.36,1559.1,1569.94,18889.9315
1782484200000,1569.94,1571.85,1553.66,1559.98,14238.1799
1782486000000,1559.98,1587.21,1559.56,1580.02,17467.1536
1782487800000,1580.02,1588.23,1572.79,1580.14,13460.9039
1782489600000,1580.13,1594.7,1572.44,1575.81,11889.0081
1782491400000,1575.82,1588.16,1575.82,1577.84,7388.1378
1782493200000,1577.83,1589.03,1576.59,1586.34,9715.4379
1782495000000,1586.35,1588.06,1579.8,1581.92,4897.7016
1782496800000,1581.91,1585.51,1574.75,1575.55,4538.7819
1782498600000,1575.55,1577.78,1570.32,1573.34,5110.7601
1782500400000,1573.35,1584.2,1570.5,1578.59,4524.8013
1782502200000,1578.59,1583.4,1573.43,1574.51,6185.0881
1782504000000,1574.51,1583.4,1574.47,1578.79,5754.8745
1782505800000,1578.79,1578.92,1568.0,1571.03,7046.8321
1782507600000,1571.02,1575.0,1568.43,1574.87,2965.9289
1782509400000,1574.87,1579.4,1573.5,1575.18,2163.59
1782511200000,1575.17,1576.23,1569.44,1573.37,2614.8671
1782513000000,1573.37,1579.45,1571.6,1577.95,1829.7058
1782514800000,1577.94,1580.34,1575.68,1575.69,2043.3948
1782516600000,1575.68,1580.76,1574.44,1578.68,1775.4824
1782518400000,1578.68,1582.07,1577.0,1577.44,1536.7936
1782520200000,1577.45,1577.71,1571.55,1576.82,2341.4502
1782522000000,1576.83,1577.14,1574.0,1577.13,793.2754
1782523800000,1577.13,1577.7,1575.16,1576.01,786.521
1782525600000,1576.0,1587.17,1574.64,1584.93,3030.1939
1782527400000,1584.93,1586.0,1581.83,1583.13,2342.7337
1782529200000,1583.13,1585.09,1578.41,1582.22,2510.4219
1782531000000,1582.23,1583.53,1579.02,1580.62,5787.153
1782532800000,1580.62,1585.22,1580.52,1582.66,2259.8652
1782534600000,1582.66,1584.15,1579.0,1579.48,1462.2159
1782536400000,1579.48,1581.12,1577.13,1577.42,2723.4592
1782538200000,1577.43,1580.8,1577.0,1578.65,1495.9098
1782540000000,1578.66,1579.63,1575.2,1578.94,1355.8927
1782541800000,1578.93,1584.61,1578.93,1582.71,2265.354
1782543600000,1582.71,1583.86,1580.39,1583.18,1633.3142
1782545400000,1583.18,1586.38,1582.19,1585.71,2024.2744
1782547200000,1585.72,1585.95,1583.26,1583.73,2395.2993
1782549000000,1583.73,1585.45,1582.05,1584.18,2720.3122
1782550800000,1584.18,1584.91,1579.39,1580.78,2295.485
1782552600000,1580.77,1583.02,1580.77,1582.93,983.1529
1782554400000,1582.93,1584.72,1582.18,1583.09,1338.3211
1782556200000,1583.09,1584.97,1582.23,1584.31,954.0043
1782558000000,1584.31,1585.12,1579.55,1580.57,1218.7053
1782559800000,1580.57,1584.93,1579.0,1584.0,1550.3115
1782561600000,1584.0,1584.44,1581.62,1584.01,991.6561
