series,cond,entry,f,sl,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-1h,XLtrend,MKT,1.5,low,391,-7.99,-0.99,-20.7,19.7,0.322,False
SOLUSDT-1h,loud,MKT,1.5,mid,1347,-21.98,-14.98,-24.0,-5.4,0.339,False
SOLUSDT-1h,uwd10,MKT,1.5,mid,998,-16.78,-9.78,-17.6,-1.6,0.285,False
SOLUSDT-1h,uwd910,MKT,1.5,mid,1996,-19.34,-12.34,-18.4,-6.3,0.313,False
SOLUSDT-1h,prevBull,MKT,1.5,mid,1705,-23.14,-16.14,-22.4,-9.7,0.338,False
SOLUSDT-1h,smaAbove,MKT,1.5,mid,1880,-20.42,-13.42,-19.4,-7.5,0.354,False
SOLUSDT-1h,trendHi,MKT,1.5,mid,1384,-21.73,-14.73,-22.3,-7.6,0.341,False
SOLUSDT-1h,XL,MKT,1.5,mid,809,-16.35,-9.35,-22.6,4.1,0.303,False
SOLUSDT-1h,XLtrend,MKT,1.5,mid,391,-4.46,2.54,-16.6,23.2,0.307,False
SOLUSDT-1h,loud,PB,1.0,low,1162,-13.58,-6.58,-11.4,-1.8,0.196,False
SOLUSDT-1h,uwd10,PB,1.0,low,930,-11.23,-4.23,-7.9,-0.4,0.153,False
SOLUSDT-1h,uwd910,PB,1.0,low,1828,-13.99,-6.99,-9.5,-4.3,0.166,False
SOLUSDT-1h,prevBull,PB,1.0,low,1544,-11.66,-4.66,-7.9,-1.5,0.207,False
SOLUSDT-1h,smaAbove,PB,1.0,low,1664,-12.89,-5.89,-9.0,-2.7,0.199,False
SOLUSDT-1h,trendHi,PB,1.0,low,1225,-12.12,-5.12,-9.2,-1.2,0.195,False
SOLUSDT-1h,XL,PB,1.0,low,713,-14.92,-7.92,-13.3,-2.4,0.158,False
SOLUSDT-1h,XLtrend,PB,1.0,low,339,-11.48,-4.48,-13.0,4.8,0.15,False
SOLUSDT-1h,loud,PB,1.0,mid,1162,-14.61,-7.61,-10.5,-4.5,0.099,False
SOLUSDT-1h,uwd10,PB,1.0,mid,930,-11.65,-4.65,-7.1,-2.1,0.075,False
SOLUSDT-1h,uwd910,PB,1.0,mid,1828,-13.79,-6.79,-8.4,-5.0,0.081,False
SOLUSDT-1h,prevBull,PB,1.0,mid,1544,-13.57,-6.57,-8.5,-4.5,0.102,False
SOLUSDT-1h,smaAbove,PB,1.0,mid,1664,-12.84,-5.84,-7.9,-3.7,0.108,False
SOLUSDT-1h,trendHi,PB,1.0,mid,1225,-11.65,-4.65,-7.3,-1.9,0.112,False
SOLUSDT-1h,XL,PB,1.0,mid,713,-15.17,-8.17,-11.3,-4.7,0.073,False
SOLUSDT-1h,XLtrend,PB,1.0,mid,339,-11.79,-4.79,-10.4,1.5,0.077,False
SOLUSDT-1h,loud,PB,1.5,low,1162,-12.96,-5.96,-11.3,-0.8,0.162,False
SOLUSDT-1h,uwd10,PB,1.5,low,930,-9.61,-2.61,-6.7,1.6,0.126,False
