series,cond,n,hit2,hitH,e2,med_t,med_nb,med_mae,r24_mean,delta_hitH,q
ICPUSDT-15m,trend=3,2593,0.5526417277284998,0.8981874276899344,0.866949479367528,2,0.0,25.387154100025974,-6.795408407444987,-0.007990178487671806,0.2425
ICPUSDT-15m,trend=4,2597,0.555256064690027,0.8860223334616866,0.8402002310358105,2,0.0,41.714742167390455,-8.049989724039008,-0.02320902999910912,0.0007
ICPUSDT-15m,trend_ge=1,10330,0.5556631171345595,0.8998063891577929,0.8656340755082285,2,0.0,27.640671273445676,-2.8495410504804677,-0.02356379765120442,0.0005
ICPUSDT-15m,trend_ge=2,7740,0.5525839793281654,0.8949612403100775,0.8580103359173127,2,0.0,29.19708029197018,-0.7686016220824394,-0.023895464082786533,0.0
ICPUSDT-15m,trend_ge=3,5190,0.5539499036608864,0.8921001926782274,0.8535645472061657,2,0.0,32.83707967904162,-2.7880657896300614,-0.020820070106778443,0.0002
ICPUSDT-15m,smaal=-1,5795,0.5739430543572045,0.9180327868852459,0.886281276962899,2,0.0,27.3138781102735,5.8294216602841304,0.02434739990564272,0.0
ICPUSDT-15m,smaal=1,7150,0.5502097902097902,0.8937062937062937,0.8574825174825175,2,0.0,30.11545011661498,2.5980872822189736,-0.024267168296118857,0.0
ICPUSDT-15m,prev=-1,6398,0.5747108471397312,0.9126289465457955,0.879180994060644,2,0.0,28.08524698496671,7.311303161827225,0.015908885523674976,0.0037
ICPUSDT-15m,prev=0,609,0.5090311986863711,0.8981937602627258,0.8850574712643678,2,0.0,23.04147465437739,5.189954409803207,-0.006699305194176386,0.6171
ICPUSDT-15m,prev=1,5946,0.5511268079381096,0.8965691220988901,0.8594012781701984,2,0.0,30.778944045457898,-3.414256595174979,-0.014805217846878493,0.0073
ICPUSDT-15m,volq=0,2394,0.6040100250626567,0.9227234753550543,0.9022556390977443,1,0.0,22.81513403891222,2.8586502791123745,0.02225941625854888,0.0015
ICPUSDT-15m,volq=1,2635,0.5981024667931689,0.9149905123339659,0.888045540796964,1,0.0,25.83979328165434,-1.9110972529511263,0.0130715357881237,0.0554
ICPUSDT-15m,volq=2,2601,0.5805459438677432,0.9146482122260668,0.8815840061514802,2,0.0,28.5877644368217,4.262290039620468,0.01260029877938984,0.0606
ICPUSDT-15m,volq=3,2657,0.5528791870530674,0.9040270982310877,0.868648852088822,2,0.0,33.04878060291359,7.295940716200708,-0.0006931814891919519,0.9137
ICPUSDT-15m,volq=4,2666,0.4737434358589647,0.8687171792948237,0.8150787696924231,2,0.0,37.61011528215401,-5.200083746766647,-0.045154697831646606,0.0
ICPUSDT-15m,volq_ge=2,7924,0.5353356890459364,0.8956335184250379,0.8548712771327612,2,0.0,32.78688524590094,5.563949705870196,-0.02303818569108851,0.0
ICPUSDT-15m,volq_ge=3,5323,0.5132444110464024,0.8863422881833553,0.8418185233890663,2,0.0,34.807963177200946,2.1670112740993392,-0.030957842878243658,0.0
ICPUSDT-15m,typ=1,10223,0.5417196517656265,0.899344615083635,0.8626626234960384,2,0.0,28.928559224340127,5.522659418429577,-0.024831209092189277,0.0002
ICPUSDT-15m,typ=2,2730,0.6322344322344322,0.9241758241758242,0.8992673992673993,1,0.0,28.260869565217174,-0.46093895132305845,0.024831209092189277,0.0002
ICPUSDT-15m,rng_q=0,3056,0.6534685863874345,0.931282722513089,0.9103403141361257,1,0.0,24.117146837368345,11.09938478528485,0.034950500627669134,0.0
ICPUSDT-15m,rng_q=1,2882,0.6020124913254684,0.917765440666204,0.8941707147814018,1,0.0,27.397260273972993,6.411499383877332,0.016961151121968054,0.0098
ICPUSDT-15m,rng_q=2,2663,0.5550131430717237,0.9185129553135561,0.8843409688321442,2,0.0,29.906383367513293,-4.170645570644928,0.01754113801520818,0.0098
ICPUSDT-15m,rng_q=3,2326,0.5197764402407566,0.8929492691315564,0.8555460017196904,2,0.0,31.53426318981177,-4.704367305854118,-0.014174095882088178,0.0486
ICPUSDT-15m,rng_q=4,2026,0.41707798617966435,0.8405725567620927,0.7749259624876604,3,0.0,38.167938931299155,-3.7613985746521545,-0.07587294520551047,0.0
ICPUSDT-15m,reg=1,7007,0.5407449693163979,0.8989581846724704,0.8694162979877266,2,0.0,24.26006792818968,-6.07635719725576,-0.012242622592918195,0.0272
ICPUSDT-15m,reg=2,5886,0.5839279646619097,0.9106354060482501,0.8708800543662929,2,0.0,35.32622466730325,14.255923178221142,0.011102365153952687,0.0464
