entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval
PB,1.5,prevBear,NOSL,0,PB_PB,326,46.62,-7.4,94.5,0.896,0.072958
PB,1.5,prevBear,NOSL,0,PB_MKT,326,39.12,-14.9,87.0,0.896,0.132416
PB,1.5,prevBear,NOSL,0,MKT_MKT,326,35.62,-18.4,83.5,0.896,0.170677
PB,1.5,prevBear,TIME,12,PB_PB,326,-8.64,-51.4,32.0,0.739,0.342174
PB,1.5,prevBear,TIME,12,PB_MKT,326,-16.14,-58.9,24.5,0.739,0.223849
PB,1.5,prevBear,TIME,12,MKT_MKT,326,-19.64,-62.4,21.0,0.739,0.177779
PB,1.5,prevBear,TIME,24,PB_PB,326,11.65,-35.6,56.2,0.816,0.618652
PB,1.5,prevBear,TIME,24,PB_MKT,326,4.15,-43.1,48.7,0.816,0.859325
PB,1.5,prevBear,TIME,24,MKT_MKT,326,0.65,-46.6,45.2,0.816,0.977938
PB,1.5,prevBear,TIME,48,PB_PB,326,46.62,-7.4,94.5,0.896,0.072958
PB,1.5,prevBear,TIME,48,PB_MKT,326,39.12,-14.9,87.0,0.896,0.132416
PB,1.5,prevBear,TIME,48,MKT_MKT,326,35.62,-18.4,83.5,0.896,0.170677
PB,1.5,smaBelow,NOSL,0,PB_PB,344,27.2,-29.4,78.0,0.901,0.320963
PB,1.5,smaBelow,NOSL,0,PB_MKT,344,19.7,-36.9,70.5,0.901,0.472231
PB,1.5,smaBelow,NOSL,0,MKT_MKT,344,16.2,-40.4,67.0,0.901,0.554412
PB,1.5,smaBelow,TIME,12,PB_PB,344,-27.17,-73.2,14.8,0.747,0.113079
PB,1.5,smaBelow,TIME,12,PB_MKT,344,-34.67,-80.7,7.3,0.747,0.061239
PB,1.5,smaBelow,TIME,12,MKT_MKT,344,-38.17,-84.2,3.8,0.747,0.044529
PB,1.5,smaBelow,TIME,24,PB_PB,344,-12.48,-65.0,33.1,0.82,0.309077
PB,1.5,smaBelow,TIME,24,PB_MKT,344,-19.98,-72.5,25.6,0.82,0.212433
PB,1.5,smaBelow,TIME,24,MKT_MKT,344,-23.48,-76.0,22.1,0.82,0.174175
PB,1.5,smaBelow,TIME,48,PB_PB,344,27.2,-29.4,78.0,0.901,0.320963
PB,1.5,smaBelow,TIME,48,PB_MKT,344,19.7,-36.9,70.5,0.901,0.472231
PB,1.5,smaBelow,TIME,48,MKT_MKT,344,16.2,-40.4,67.0,0.901,0.554412
PB,1.5,C3_w8q,NOSL,0,PB_PB,278,33.08,-34.6,87.3,0.928,0.287648
PB,1.5,C3_w8q,NOSL,0,PB_MKT,278,25.58,-42.1,79.8,0.928,0.41096
PB,1.5,C3_w8q,NOSL,0,MKT_MKT,278,22.08,-45.6,76.3,0.928,0.477892
PB,1.5,C3_w8q,TIME,12,PB_PB,278,-14.78,-60.4,26.5,0.773,0.252412
PB,1.5,C3_w8q,TIME,12,PB_MKT,278,-22.28,-67.9,19.0,0.773,0.157381
PB,1.5,C3_w8q,TIME,12,MKT_MKT,278,-25.78,-71.4,15.5,0.773,0.122377
PB,1.5,C3_w8q,TIME,24,PB_PB,278,10.13,-48.3,58.6,0.863,0.7104
PB,1.5,C3_w8q,TIME,24,PB_MKT,278,2.63,-55.8,51.1,0.863,0.923274
PB,1.5,C3_w8q,TIME,24,MKT_MKT,278,-0.87,-59.3,47.6,0.863,0.487225
PB,1.5,C3_w8q,TIME,48,PB_PB,278,33.08,-34.6,87.3,0.928,0.287648
PB,1.5,C3_w8q,TIME,48,PB_MKT,278,25.58,-42.1,79.8,0.928,0.41096
PB,1.5,C3_w8q,TIME,48,MKT_MKT,278,22.08,-45.6,76.3,0.928,0.477892
PB,1.5,C6_w9dip,NOSL,0,PB_PB,176,111.21,58.8,156.5,0.915,8e-06
