series,cond,entry,f,sl,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,pf,sig_maker
SOLUSDT-30m,smaBelow,MKT,1.0,low,2952,-26.03,-19.03,-22.2,-15.8,0.428,0.56,False
SOLUSDT-30m,C3_w8q,MKT,1.0,low,2472,-21.52,-14.52,-16.5,-12.4,0.426,0.6,False
SOLUSDT-30m,C6_w9dip,MKT,1.0,low,1566,-25.44,-18.44,-23.9,-13.2,0.401,0.6,False
SOLUSDT-30m,CQ7_w78q,MKT,1.0,low,1142,-23.35,-16.35,-19.5,-13.2,0.483,0.54,False
SOLUSDT-30m,ALL,MKT,1.0,mid,6817,-23.44,-16.44,-18.4,-14.5,0.394,0.62,False
SOLUSDT-30m,quiet,MKT,1.0,mid,2764,-22.09,-15.09,-17.0,-13.2,0.398,0.56,False
SOLUSDT-30m,uwd78,MKT,1.0,mid,2728,-26.38,-19.38,-22.1,-16.7,0.439,0.54,False
SOLUSDT-30m,uwd79,MKT,1.0,mid,4772,-25.91,-18.91,-21.2,-16.6,0.42,0.56,False
SOLUSDT-30m,prevBear,MKT,1.0,mid,3255,-25.08,-18.08,-20.6,-15.5,0.406,0.57,False
SOLUSDT-30m,smaBelow,MKT,1.0,mid,2952,-25.59,-18.59,-21.7,-15.5,0.391,0.55,False
SOLUSDT-30m,C3_w8q,MKT,1.0,mid,2472,-21.6,-14.6,-16.6,-12.6,0.391,0.58,False
SOLUSDT-30m,C6_w9dip,MKT,1.0,mid,1566,-25.25,-18.25,-23.3,-13.1,0.365,0.58,False
SOLUSDT-30m,CQ7_w78q,MKT,1.0,mid,1142,-23.45,-16.45,-19.6,-13.4,0.437,0.51,False
SOLUSDT-30m,ALL,MKT,1.5,low,6817,-18.85,-11.85,-14.2,-9.5,0.388,0.79,False
SOLUSDT-30m,quiet,MKT,1.5,low,2764,-17.55,-10.55,-12.9,-8.2,0.402,0.76,False
SOLUSDT-30m,uwd78,MKT,1.5,low,2728,-21.55,-14.55,-17.9,-11.2,0.448,0.72,False
SOLUSDT-30m,uwd79,MKT,1.5,low,4772,-20.96,-13.96,-16.8,-11.1,0.422,0.74,False
SOLUSDT-30m,prevBear,MKT,1.5,low,3255,-21.04,-14.04,-17.0,-10.7,0.398,0.72,False
SOLUSDT-30m,smaBelow,MKT,1.5,low,2952,-21.08,-14.08,-17.7,-10.3,0.391,0.72,False
SOLUSDT-30m,C3_w8q,MKT,1.5,low,2472,-16.91,-9.91,-12.3,-7.4,0.394,0.78,False
SOLUSDT-30m,C6_w9dip,MKT,1.5,low,1566,-19.36,-12.36,-18.3,-6.4,0.366,0.78,False
SOLUSDT-30m,CQ7_w78q,MKT,1.5,low,1142,-18.71,-11.71,-15.5,-7.9,0.457,0.72,False
SOLUSDT-30m,ALL,MKT,1.5,mid,6817,-18.85,-11.85,-14.1,-9.5,0.355,0.77,False
SOLUSDT-30m,quiet,MKT,1.5,mid,2764,-17.49,-10.49,-12.7,-8.2,0.37,0.75,False
SOLUSDT-30m,uwd78,MKT,1.5,mid,2728,-21.37,-14.37,-17.5,-11.2,0.407,0.71,False
SOLUSDT-30m,uwd79,MKT,1.5,mid,4772,-21.07,-14.07,-16.7,-11.3,0.384,0.72,False
SOLUSDT-30m,prevBear,MKT,1.5,mid,3255,-20.49,-13.49,-16.3,-10.4,0.37,0.72,False
SOLUSDT-30m,smaBelow,MKT,1.5,mid,2952,-20.82,-13.82,-17.3,-10.1,0.355,0.71,False
SOLUSDT-30m,C3_w8q,MKT,1.5,mid,2472,-16.96,-9.96,-12.3,-7.6,0.362,0.77,False
SOLUSDT-30m,C6_w9dip,MKT,1.5,mid,1566,-19.6,-12.6,-18.3,-6.9,0.331,0.76,False
SOLUSDT-30m,CQ7_w78q,MKT,1.5,mid,1142,-18.6,-11.6,-15.3,-7.9,0.416,0.71,False
SOLUSDT-30m,ALL,PB,1.0,low,6107,-12.23,-5.23,-6.4,-4.0,0.192,0.91,False
SOLUSDT-30m,quiet,PB,1.0,low,2529,-11.51,-4.51,-5.9,-3.1,0.206,0.95,False
SOLUSDT-30m,uwd78,PB,1.0,low,2360,-11.5,-4.5,-6.4,-2.6,0.249,0.97,False
SOLUSDT-30m,uwd79,PB,1.0,low,4193,-11.79,-4.79,-6.1,-3.3,0.225,0.94,False
SOLUSDT-30m,prevBear,PB,1.0,low,2906,-14.21,-7.21,-8.7,-5.8,0.185,0.77,False
SOLUSDT-30m,smaBelow,PB,1.0,low,2672,-13.55,-6.55,-8.3,-4.6,0.202,0.82,False
SOLUSDT-30m,C3_w8q,PB,1.0,low,2267,-11.37,-4.37,-5.8,-2.8,0.197,0.96,False
SOLUSDT-30m,C6_w9dip,PB,1.0,low,1445,-13.86,-6.86,-9.3,-4.5,0.166,0.79,False
SOLUSDT-30m,CQ7_w78q,PB,1.0,low,1019,-10.39,-3.39,-5.9,-0.5,0.267,1.05,False
SOLUSDT-30m,ALL,PB,1.0,mid,6107,-12.48,-5.48,-6.2,-4.7,0.101,0.81,False
SOLUSDT-30m,quiet,PB,1.0,mid,2529,-12.45,-5.45,-6.3,-4.6,0.103,0.77,False
SOLUSDT-30m,uwd78,PB,1.0,mid,2360,-12.41,-5.41,-6.6,-4.2,0.138,0.84,False
SOLUSDT-30m,uwd79,PB,1.0,mid,4193,-12.74,-5.74,-6.6,-4.8,0.118,0.8,False
SOLUSDT-30m,prevBear,PB,1.0,mid,2906,-13.02,-6.02,-7.0,-5.1,0.1,0.75,False
SOLUSDT-30m,smaBelow,PB,1.0,mid,2672,-12.77,-5.77,-6.9,-4.5,0.111,0.78,False
SOLUSDT-30m,C3_w8q,PB,1.0,mid,2267,-12.3,-5.3,-6.2,-4.4,0.097,0.79,False
SOLUSDT-30m,C6_w9dip,PB,1.0,mid,1445,-12.79,-5.79,-7.5,-3.9,0.087,0.76,False
SOLUSDT-30m,CQ7_w78q,PB,1.0,mid,1019,-13.13,-6.13,-7.6,-4.7,0.132,0.73,False
SOLUSDT-30m,ALL,PB,1.5,low,6107,-11.71,-4.71,-6.1,-3.3,0.161,0.95,False
SOLUSDT-30m,quiet,PB,1.5,low,2529,-10.7,-3.7,-5.3,-1.9,0.176,1.03,False
SOLUSDT-30m,uwd78,PB,1.5,low,2360,-11.39,-4.39,-6.5,-2.1,0.212,0.98,False
SOLUSDT-30m,uwd79,PB,1.5,low,4193,-11.41,-4.41,-5.9,-2.7,0.19,0.97,False
SOLUSDT-30m,prevBear,PB,1.5,low,2906,-13.93,-6.93,-8.6,-5.3,0.154,0.8,False
SOLUSDT-30m,smaBelow,PB,1.5,low,2672,-12.76,-5.76,-7.9,-3.5,0.17,0.88,False
SOLUSDT-30m,C3_w8q,PB,1.5,low,2267,-10.57,-3.57,-5.2,-1.6,0.167,1.04,False
SOLUSDT-30m,C6_w9dip,PB,1.5,low,1445,-12.17,-5.17,-8.1,-2.0,0.14,0.92,False
SOLUSDT-30m,CQ7_w78q,PB,1.5,low,1019,-10.0,-3.0,-5.8,0.5,0.231,1.08,False
SOLUSDT-30m,ALL,PB,1.5,mid,6107,-11.92,-4.92,-5.8,-3.9,0.084,0.89,False
SOLUSDT-30m,quiet,PB,1.5,mid,2529,-11.7,-4.7,-5.7,-3.7,0.089,0.89,False
SOLUSDT-30m,uwd78,PB,1.5,mid,2360,-11.81,-4.81,-6.2,-3.4,0.117,0.91,False
SOLUSDT-30m,uwd79,PB,1.5,mid,4193,-12.13,-5.13,-6.1,-4.1,0.1,0.87,False
SOLUSDT-30m,prevBear,PB,1.5,mid,2906,-12.63,-5.63,-6.7,-4.5,0.082,0.8,False
SOLUSDT-30m,smaBelow,PB,1.5,mid,2672,-12.18,-5.18,-6.6,-3.6,0.093,0.86,False
SOLUSDT-30m,C3_w8q,PB,1.5,mid,2267,-11.56,-4.56,-5.6,-3.5,0.083,0.91,False
SOLUSDT-30m,C6_w9dip,PB,1.5,mid,1445,-11.72,-4.72,-6.8,-2.2,0.073,0.91,False
SOLUSDT-30m,CQ7_w78q,PB,1.5,mid,1019,-12.4,-5.4,-7.0,-3.8,0.116,0.83,False
SOLUSDT-1h,ALL,MKT,1.0,low,3324,-29.41,-22.41,-26.5,-18.5,0.427,0.62,False
SOLUSDT-1h,quiet,MKT,1.0,low,1311,-28.05,-21.05,-25.1,-17.3,0.423,0.53,False
SOLUSDT-1h,uwd78,MKT,1.0,low,1328,-33.67,-26.67,-32.3,-21.3,0.496,0.55,False
SOLUSDT-1h,uwd79,MKT,1.0,low,2326,-32.54,-25.54,-30.2,-20.9,0.458,0.58,False
SOLUSDT-1h,prevBear,MKT,1.0,low,1608,-29.31,-22.31,-27.7,-16.7,0.442,0.61,False
SOLUSDT-1h,smaBelow,MKT,1.0,low,1438,-31.46,-24.46,-30.9,-18.2,0.423,0.57,False
SOLUSDT-1h,C3_w8q,MKT,1.0,low,1199,-27.48,-20.48,-24.7,-16.7,0.417,0.55,False
SOLUSDT-1h,C6_w9dip,MKT,1.0,low,749,-32.55,-25.55,-36.2,-16.0,0.387,0.57,False
SOLUSDT-1h,CQ7_w78q,MKT,1.0,low,508,-30.25,-23.25,-29.6,-17.4,0.494,0.48,False
SOLUSDT-1h,ALL,MKT,1.0,mid,3324,-28.8,-21.8,-25.7,-18.2,0.392,0.61,False
SOLUSDT-1h,quiet,MKT,1.0,mid,1311,-27.38,-20.38,-24.1,-16.8,0.392,0.52,False
