series,cond,entry,f,exit,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-15m,C3_w8q,MKT,1.5,low,4963,-16.88,-9.88,-11.3,-8.5,0.388,False
SOLUSDT-15m,C6_w9dip,MKT,1.5,low,3109,-13.83,-6.83,-10.5,-2.9,0.373,False
SOLUSDT-15m,CQ7_w78q,MKT,1.5,low,2153,-18.41,-11.41,-13.4,-9.6,0.454,False
SOLUSDT-15m,ALL,MKT,1.5,mid,13537,-16.43,-9.43,-10.6,-8.2,0.367,False
SOLUSDT-15m,quiet,MKT,1.5,mid,5502,-17.05,-10.05,-11.3,-8.7,0.368,False
SOLUSDT-15m,uwd78,MKT,1.5,mid,5420,-17.78,-10.78,-12.4,-9.2,0.432,False
SOLUSDT-15m,uwd79,MKT,1.5,mid,9476,-17.26,-10.26,-11.6,-8.9,0.4,False
SOLUSDT-15m,prevBear,MKT,1.5,mid,6572,-15.58,-8.58,-10.4,-6.6,0.387,False
SOLUSDT-15m,smaBelow,MKT,1.5,mid,5727,-15.44,-8.44,-10.5,-6.2,0.386,False
SOLUSDT-15m,C3_w8q,MKT,1.5,mid,4963,-16.89,-9.89,-11.3,-8.5,0.361,False
SOLUSDT-15m,C6_w9dip,MKT,1.5,mid,3109,-14.5,-7.5,-10.8,-3.8,0.348,False
SOLUSDT-15m,CQ7_w78q,MKT,1.5,mid,2153,-18.61,-11.61,-13.4,-9.9,0.414,False
SOLUSDT-15m,ALL,MKT,1.5,NOSL,13537,-8.79,-1.79,-4.9,1.4,0.867,False
SOLUSDT-15m,quiet,MKT,1.5,NOSL,5502,-6.54,0.46,-3.2,3.9,0.905,False
SOLUSDT-15m,uwd78,MKT,1.5,NOSL,5420,-8.05,-1.05,-5.1,2.9,0.893,False
SOLUSDT-15m,uwd79,MKT,1.5,NOSL,9476,-10.04,-3.04,-6.5,0.3,0.88,False
SOLUSDT-15m,prevBear,MKT,1.5,NOSL,6572,-8.25,-1.25,-6.1,3.7,0.876,False
SOLUSDT-15m,smaBelow,MKT,1.5,NOSL,5727,-5.69,1.31,-4.5,6.7,0.888,False
SOLUSDT-15m,C3_w8q,MKT,1.5,NOSL,4963,-6.86,0.14,-3.9,3.9,0.902,False
SOLUSDT-15m,C6_w9dip,MKT,1.5,NOSL,3109,-3.36,3.64,-4.9,12.0,0.867,False
SOLUSDT-15m,CQ7_w78q,MKT,1.5,NOSL,2153,-6.06,0.94,-3.4,5.1,0.922,False
SOLUSDT-15m,ALL,PB,1.0,low,11944,-12.34,-5.34,-6.0,-4.6,0.171,False
SOLUSDT-15m,quiet,PB,1.0,low,4990,-12.41,-5.41,-6.0,-4.8,0.176,False
SOLUSDT-15m,uwd78,PB,1.0,low,4597,-11.52,-4.52,-5.6,-3.3,0.226,False
SOLUSDT-15m,uwd79,PB,1.0,low,8205,-12.28,-5.28,-6.1,-4.4,0.202,False
SOLUSDT-15m,prevBear,PB,1.0,low,5775,-11.85,-4.85,-5.8,-3.8,0.179,False
SOLUSDT-15m,smaBelow,PB,1.0,low,5065,-12.51,-5.51,-6.7,-4.2,0.187,False
SOLUSDT-15m,C3_w8q,PB,1.0,low,4531,-12.59,-5.59,-6.2,-4.9,0.165,False
SOLUSDT-15m,C6_w9dip,PB,1.0,low,2825,-11.94,-4.94,-6.5,-3.1,0.16,False
SOLUSDT-15m,CQ7_w78q,PB,1.0,low,1904,-12.18,-5.18,-6.3,-4.1,0.231,False
SOLUSDT-15m,ALL,PB,1.0,mid,11944,-12.26,-5.26,-5.7,-4.8,0.09,False
SOLUSDT-15m,quiet,PB,1.0,mid,4990,-12.27,-5.27,-5.6,-4.9,0.091,False
SOLUSDT-15m,uwd78,PB,1.0,mid,4597,-11.97,-4.97,-5.7,-4.2,0.124,False
SOLUSDT-15m,uwd79,PB,1.0,mid,8205,-12.19,-5.19,-5.7,-4.6,0.109,False
SOLUSDT-15m,prevBear,PB,1.0,mid,5775,-12.04,-5.04,-5.6,-4.4,0.098,False
SOLUSDT-15m,smaBelow,PB,1.0,mid,5065,-12.3,-5.3,-6.0,-4.5,0.099,False
SOLUSDT-15m,C3_w8q,PB,1.0,mid,4531,-12.38,-5.38,-5.8,-5.0,0.084,False
SOLUSDT-15m,C6_w9dip,PB,1.0,mid,2825,-12.11,-5.11,-6.1,-3.9,0.081,False
SOLUSDT-15m,CQ7_w78q,PB,1.0,mid,1904,-12.1,-5.1,-5.9,-4.3,0.127,False
SOLUSDT-15m,ALL,PB,1.0,NOSL,11944,-1.52,5.48,2.2,8.5,0.883,True
SOLUSDT-15m,quiet,PB,1.0,NOSL,4990,0.89,7.89,4.5,11.1,0.924,True
SOLUSDT-15m,uwd78,PB,1.0,NOSL,4597,4.96,11.96,7.7,15.8,0.899,True
SOLUSDT-15m,uwd79,PB,1.0,NOSL,8205,0.18,7.18,3.5,10.5,0.888,True
SOLUSDT-15m,prevBear,PB,1.0,NOSL,5775,-1.19,5.81,1.2,10.6,0.893,True
SOLUSDT-15m,smaBelow,PB,1.0,NOSL,5065,1.42,8.42,2.8,14.0,0.905,True
SOLUSDT-15m,C3_w8q,PB,1.0,NOSL,4531,0.15,7.15,3.5,10.6,0.923,True
SOLUSDT-15m,C6_w9dip,PB,1.0,NOSL,2825,1.9,8.9,0.8,16.9,0.896,True
SOLUSDT-15m,CQ7_w78q,PB,1.0,NOSL,1904,4.68,11.68,7.3,15.9,0.936,True
SOLUSDT-15m,ALL,PB,1.5,low,11944,-12.03,-5.03,-5.8,-4.2,0.143,False
SOLUSDT-15m,quiet,PB,1.5,low,4990,-11.97,-4.97,-5.6,-4.3,0.149,False
SOLUSDT-15m,uwd78,PB,1.5,low,4597,-11.63,-4.63,-5.8,-3.3,0.191,False
SOLUSDT-15m,uwd79,PB,1.5,low,8205,-12.12,-5.12,-6.0,-4.2,0.171,False
SOLUSDT-15m,prevBear,PB,1.5,low,5775,-11.66,-4.66,-5.8,-3.4,0.148,False
SOLUSDT-15m,smaBelow,PB,1.5,low,5065,-12.07,-5.07,-6.4,-3.5,0.157,False
SOLUSDT-15m,C3_w8q,PB,1.5,low,4531,-12.18,-5.18,-5.9,-4.5,0.139,False
SOLUSDT-15m,C6_w9dip,PB,1.5,low,2825,-11.2,-4.2,-6.3,-1.7,0.128,False
SOLUSDT-15m,CQ7_w78q,PB,1.5,low,1904,-11.91,-4.91,-6.2,-3.6,0.199,False
SOLUSDT-15m,ALL,PB,1.5,mid,11944,-12.02,-5.02,-5.5,-4.5,0.076,False
SOLUSDT-15m,quiet,PB,1.5,mid,4990,-11.78,-4.78,-5.3,-4.3,0.08,False
